Source,Course Title,Course URL,Duration,Views,Creator Info,Email,Date,Price
Kaggle,Intro to Programming,https://www.kaggle.com/learn/intro-to-programming,Free,37901,W3Schools Team,oprice@hotmail.com,1/1/2024,$100 
JavaTpoint,Python,https://www.javatpoint.com/python-tutorial,15 hours,31816,John Doe,jreed@jordan.com,5/20/2024,$200 
Kaggle,Python ,https://www.kaggle.com/learn/python,10 hours,24792,Expert Instructor,donaldwright@hotmail.com,3/10/2024,$100 
LinkedIn,Machine Learning Foundations: Statistics,https://www.linkedin.com/learning/machine-learning-foundations-statistics?trk=learning-serp_learning-search-card_search-card,Free,23152,Jane Smith,williamturner@olson-young.com,6/18/2024,Free
W3Schools,HTML Tutorial,https://www.w3schools.com/html/default.asp,15 hours,18406,W3Schools Team,fmurillo@yahoo.com,6/18/2024,$100 
W3Schools,CSS Tutorial,https://www.w3schools.com/css/default.asp,10 hours,45964,Jane Smith,wendy01@coleman-montoya.net,6/18/2024,$50 
W3Schools,JavaScript Tutorial,https://www.w3schools.com/js/default.asp,10 hours,37952,JavaTpoint Team,travispham@hotmail.com,1/1/2024,$200 
JavaTpoint,Django,https://www.javatpoint.com/django-tutorial,Free,27268,W3Schools Team,kariobrien@rowland-torres.org,6/18/2024,$50 
W3Schools,Java Tutorial,https://www.w3schools.com/java/default.asp,15 hours,23942,Jane Smith,kristenmalone@hotmail.com,3/10/2024,$200 
LinkedIn,Customer Insights and Consumer Analytics for Organizations: Tools and Analysis,https://www.linkedin.com/learning/customer-insights-and-consumer-analytics-for-organizations-tools-and-analysis?trk=learning-serp_learning-search-card_search-card,Free,47779,Kaggle Team,joshua10@johnson.com,1/1/2024,$100 
W3Schools,PHP Tutorial,https://www.w3schools.com/php/default.asp,10 hours,36521,John Doe,dominiquemitchell@henderson.net,6/18/2024,$200 
Kaggle,Intro to Machine Learning,https://www.kaggle.com/learn/intro-to-machine-learning,10 hours,2803,Expert Instructor,gonzalesphilip@kane.com,5/20/2024,$100 
JavaTpoint,Numpy,https://www.javatpoint.com/numpy-tutorial,15 hours,32249,Jane Smith,williammartinez@hotmail.com,3/10/2024,Free
Kaggle,Pandas,https://www.kaggle.com/learn/pandas ,10 hours,42812,Kaggle Team,michaelyoung@hotmail.com,5/20/2024,$150 
W3Schools,React Tutorial,https://www.w3schools.com/react/default.asp,10 hours,27117,John Doe,bridgeskelsey@jacobs.biz,6/18/2024,$50 
JavaTpoint,Pandas,https://www.javatpoint.com/python-pandas,15 hours,32549,Kaggle Team,sarah85@boyd.com,3/10/2024,$100 
W3Schools,AngularJS Tutorial,https://www.w3schools.com/angular/default.asp,Free,2543,Jane Smith,sarahwhite@payne.info,3/10/2024,$50 
W3Schools,jQuery Tutorial,https://www.w3schools.com/jquery/default.asp,15 hours,42417,Jane Smith,perezlarry@chase.com,2/15/2024,$50 
LinkedIn,Programming Foundations: Data Structures,https://www.linkedin.com/learning/programming-foundations-data-structures-22859292?trk=learning-serp_learning-search-card_search-card,Free,48490,John Doe,bakerjacqueline@russell-greene.com,2/15/2024,$150 
Kaggle,Intermediate Machine Learning,https://www.kaggle.com/learn/intermediate-machine-learning,10 hours,36172,Expert Instructor,catherineshields@gmail.com,3/10/2024,$150 
Kaggle,Data Visualization,https://www.kaggle.com/learn/data-visualization,5 hours,28369,Kaggle Team,fgriffith@ball.org,2/15/2024,$100 
LinkedIn,Machine Learning Foundations: Probability,https://www.linkedin.com/learning/machine-learning-foundations-probability?trk=learning-serp_learning-search-card_search-card&upsellOrderOrigin=default_guest_learning,15 hours,17840,Expert Instructor,johndavis@gmail.com,1/1/2024,$200 
LinkedIn,Getting Started with Python for Finance,https://www.linkedin.com/learning/getting-started-with-python-for-finance?trk=learning-serp_learning-search-card_search-card&upsellOrderOrigin=default_guest_learning,10 hours,31926,Kaggle Team,gbates@yahoo.com,6/18/2024,$200 
Kaggle,Feature Engineering,https://www.kaggle.com/learn/feature-engineering,Free,24144,Expert Instructor,johnsonjessica@may.net,5/20/2024,$100 
Kaggle,Intro to SQL,https://www.kaggle.com/learn/intro-to-sql,15 hours,43356,Kaggle Team,vingram@gmail.com,5/20/2024,$100 
Kaggle,Advanced SQL,https://www.kaggle.com/learn/advanced-sql,15 hours,2820,Jane Smith,warrenkeith@hotmail.com,6/18/2024,$50 
W3Schools,Data Science Tutorial,https://www.w3schools.com/datascience/default.asp,5 hours,12182,Jane Smith,katherinebarrera@wilson.com,2/15/2024,$100 
W3Schools,Statistics Tutorial,https://www.w3schools.com/statistics/index.php,10 hours,36940,W3Schools Team,berryemily@yahoo.com,3/10/2024,$100 
Kaggle,Intro to Deep Learning,https://www.kaggle.com/learn/intro-to-deep-learning,Free,21654,W3Schools Team,austinamber@yahoo.com,1/1/2024,Free
JavaTpoint,Tkinter,https://www.javatpoint.com/python-tkinter,5 hours,14796,Kaggle Team,esantana@hall-davis.info,5/20/2024,$200 
JavaTpoint,Pytorch,https://www.javatpoint.com/pytorch,15 hours,23396,Kaggle Team,andersontyler@cortez.org,2/15/2024,$50 
LinkedIn,Machine Learning Foundations: Calculus,https://www.linkedin.com/learning/machine-learning-foundations-calculus?trk=learning-serp_learning-search-card_search-card&upsellOrderOrigin=default_guest_learning,5 hours,3079,W3Schools Team,millsjoseph@yahoo.com,4/5/2024,Free
